pseudo_id,account_active_days,koen,permission_given_order,previous_subscriptions,previous_campaigns,previous_trials,newsletters_before_order,newsletters_after_order,churn,continued_subscription,early_churn,age,kundetid_gruppe,utm_content,utm_medium,utm_source,antal_sidevisninger,antal_dage_aktiv,andel_restricted,avg_scroll_depth,andel_mobil,andel_social,andel_email,andel_search,laesedage_spredning,andel_weekend,andel_morgen,andel_aften,andel_ios,andel_android,andel_windows,andel_sport,andel_politik,andel_oekonomi,andel_kultur,cluster_label,n_visits,avg_scroll,share_mobile,share_desktop,share_restricted,share_search,share_internal,n_unique_pages
2e61a4b9eba3b903cdb5ae94b9805e47,60,Mand,0,0,0,0,0,0,1,0,0,64,6+ måneder,A,content,jp.dk,2,1,0.5,1,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,Desktop-traditionalisten,2,1,0,1,0.5,0.5,0,2
d5daaf6281239bd2246032f0911b8c17,60,Mand,1,1,1,0,3,3,0,1,0,78,6+ måneder,A,mail,mail,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Mobil-nykommeren,1,0,1,0,1,0,0,1
8285b49c0a8f3e74ceeb7db67dee6150,60,Mand,0,4,3,1,0,0,0,1,1,80,6+ måneder,A,content,jp.dk,332,31,0.35843373493975905,0.276355421686747,0.9427710843373494,0,0,0.42771084337349397,30,0,0.030120481927710843,0.5030120481927711,0,0.9427710843373494,0.0572289156626506,0.012048192771084338,0.030120481927710843,0.06927710843373494,0.012048192771084338,Power-brugeren (Mest mobil),332,0.276355421686747,0.9427710843373494,0.0572289156626506,0.35843373493975905,0.42771084337349397,0.5542168674698795,331
e858f5449697bc5909c5ed72bee136f2,60,Mand,0,1,1,0,0,0,0,1,1,28,6+ måneder,A,content,jp.dk,23,6,0.21739130434782608,0.358695652173913,0.17391304347826086,0,0,0.043478260869565216,28,0,0.2608695652173913,0.21739130434782608,0.17391304347826086,0,0.8260869565217391,0,0,0.2608695652173913,0,Desktop-traditionalisten,23,0.358695652173913,0.17391304347826086,0.8260869565217391,0.21739130434782608,0.043478260869565216,0.6086956521739131,23
7914eefd03db41f93ff599d0b8de560c,60,Mand,1,3,2,2,0,1,1,0,0,73,6+ måneder,Andet,Matrice,jp.dk,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Spøgelses-brugeren (Lav aktivitet),2,0,1,0,0,0,0,2
08b9d113ffba7015141bba88f1c6da2a,60,Mand,0,0,0,0,0,0,1,0,0,82,0-7 dage,Andet,mail,mail,470,31,0.274468085106383,0.3973404255319149,1,0,0,0,30,0,0.274468085106383,0.28297872340425534,0,1,0,0.00425531914893617,0.0425531914893617,0.04042553191489362,0.014893617021276596,Power-brugeren (Mest mobil),470,0.3973404255319149,1,0,0.274468085106383,0,0.451063829787234,470
d1ca6a372601fe9c7e69b8524758f7eb,60,Mand,0,0,0,0,0,0,0,1,0,57,6+ måneder,Andet,Matrice,jp.dk,627,31,0.23444976076555024,0.2795055821371611,0.9776714513556619,0,0,0,30,0,0.13556618819776714,0.44019138755980863,0,0.9776714513556619,0.022328548644338118,0.004784688995215311,0.012759170653907496,0.044657097288676235,0.046251993620414676,Power-brugeren (Mest mobil),627,0.2795055821371611,0.9776714513556619,0.022328548644338118,0.23444976076555024,0,0.48165869218500795,627
02cd8b6609ea3b7598578bb5ff28a659,60,Kvinde,0,3,0,3,0,0,1,0,0,64,6+ måneder,A,content,jp.dk,317,28,0.305993690851735,0.31624605678233436,1,0,0,0,30,0,0.501577287066246,0.277602523659306,0,1,0,0.0031545741324921135,0.028391167192429023,0.025236593059936908,0.04416403785488959,Power-brugeren (Mest mobil),317,0.31624605678233436,1,0,0.305993690851735,0,0.580441640378549,317
7edeb8ee21028717df5a792e83205006,60,Kvinde,1,0,0,0,0,0,0,1,0,52,6+ måneder,B,content,jp.dk,4,2,0.75,0.5,1,0.25,0,0,2,0,0.25,0,0,1,0,0.75,0,0.25,0,Mobil-nykommeren,4,0.5,1,0,0.75,0,0.25,4
cfb989d2b0e7704212c88903976a770b,60,Mand,0,13,7,7,0,0,1,0,0,77,6+ måneder,Andet,mail,mail,19,7,0.15789473684210525,0.27631578947368424,1,0,0,0.05263157894736842,28,0,0.10526315789473684,0.7368421052631579,1,0,0,0.05263157894736842,0,0,0.05263157894736842,Veteranen (Høj historik),19,0.27631578947368424,1,0,0.15789473684210525,0.05263157894736842,0.42105263157894735,19
17cfa47c1032e09073f4c111d522557e,60,Mand,0,0,0,0,0,0,1,0,0,78,0-7 dage,Ukendt,topticker,jp.dk,116,22,0.2672413793103448,0.14870689655172414,0.9137931034482759,0,0,0,30,0,0.25,0.6206896551724138,0,0.9137931034482759,0,0.05172413793103448,0,0.05172413793103448,0.017241379310344827,Mobil-nykommeren,116,0.14870689655172414,0.9137931034482759,0.08620689655172414,0.2672413793103448,0,0.4224137931034483,116
6e0aa1e08827251ef1efacbc4b157402,60,Mand,0,1,1,0,0,0,0,1,0,26,1-6 måneder,Andet,Matrice,jp.dk,414,31,0.3864734299516908,0.427536231884058,0.8333333333333334,0,0,0.004830917874396135,30,0,0.22946859903381642,0.18840579710144928,0,0.8333333333333334,0.16666666666666666,0.004830917874396135,0.036231884057971016,0.08454106280193237,0.033816425120772944,Power-brugeren (Mest mobil),414,0.427536231884058,0.8333333333333334,0.16666666666666666,0.3864734299516908,0.004830917874396135,0.7028985507246377,414
1b266f44493167a1a622c3125819bfd3,60,Mand,1,9,4,5,2,2,1,0,0,61,6+ måneder,Andet,mail,mail,10,2,0.5,0.5,1,0,0,0,15,0,0,0,1,0,0,0,0,0.4,0.1,Veteranen (Høj historik),10,0.5,1,0,0.5,0,0.5,10
845b4add6adcbc933e973db308d89080,60,Kvinde,0,6,4,2,1,1,1,0,0,77,6+ måneder,A,content,jp.dk,25,4,0.48,0.77,0,0,0,0,3,0,0.12,0.44,1,0,0,0,0,0.04,0,Desktop-traditionalisten,25,0.77,0,0,0.48,0,0.48,25
7ac115daad07fcf9761b2b44f3f703db,60,Mand,0,5,4,0,0,0,1,0,0,56,6+ måneder,B,content,jp.dk,602,31,0.19601328903654486,0.2956810631229236,0.9634551495016611,0,0,0.0016611295681063123,30,0,0.23089700996677742,0.3538205980066445,0.9850498338870431,0,0,0.011627906976744186,0.016611295681063124,0.03820598006644518,0.024916943521594685,Power-brugeren (Mest mobil),602,0.2956810631229236,0.9634551495016611,0.014950166112956811,0.19601328903654486,0.0016611295681063123,0.5282392026578073,602
6de367620679c429ff462d9a576b2c18,60,Kvinde,1,0,0,0,0,0,0,1,1,21,6+ måneder,A,content,jp.dk,3,1,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Desktop-traditionalisten,3,0.3333333333333333,0,1,0.3333333333333333,0,0.6666666666666666,3
142e11ccea66a17bd3dc666b96c70115,60,Mand,0,6,5,1,0,0,1,0,0,54,6+ måneder,A,content,jp.dk,263,30,0.39923954372623577,0.4914448669201521,1,0,0,0,30,0,0.20912547528517111,0.4220532319391635,0,1,0,0.034220532319391636,0.026615969581749048,0.04182509505703422,0.030418250950570342,Power-brugeren (Mest mobil),263,0.4914448669201521,1,0,0.39923954372623577,0,0.6007604562737643,262
47fc1952c5f2a7403681a61bba50f6e3,60,Ikke oplyst,0,12,11,3,3,3,0,1,0,55,6+ måneder,A,mail,mail,69,13,0.4492753623188406,0.5289855072463768,0.6376811594202898,0,0.3333333333333333,0,27,0,0.028985507246376812,0.15942028985507245,0,0.6376811594202898,0.07246376811594203,0,0.043478260869565216,0.043478260869565216,0.18840579710144928,Veteranen (Høj historik),69,0.5289855072463768,0.6376811594202898,0.36231884057971014,0.4492753623188406,0,0.5797101449275363,69
